;title;rating;ratingLevel;release year;user rating score;user rating size
0;White Chicks;PG-13;crude and sexual humor, language and some drug content;2004;82.0;80
1;Lucky Number Slevin;R;strong violence, sexual content and adult language;2006;79.0;82
2;Grey's Anatomy;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;98.0;80
3;Prison Break;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2008;98.0;80
4;How I Met Your Mother;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;94.0;80
5;Supernatural;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;95.0;80
6;Breaking Bad;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2013;97.0;80
7;The Vampire Diaries;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2017;91.0;80
8;The Walking Dead;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;98.0;80
9;Pretty Little Liars;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;96.0;80
10;Once Upon a Time;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;98.0;80
11;Sherlock;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;95.0;80
12;Death Note;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2006;77.0;80
13;Naruto;TV-PG;Parental guidance suggested. May not be suitable for all children.;2008;88.0;80
14;The Hunter;R;language and brief violence;2011;79.0;82
15;Lottie Dottie Chicken;TV-Y;Suitable for all ages.;2009;75.5;82
16;Arrow;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;96.0;80
17;Black Mirror;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;80.0;80
18;The Originals;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;74.0;80
19;The 100;NR;This movie has not been rated.;2016;97.0;80
20;Masha and the Bear;TV-Y;Suitable for all ages.;2013;81.0;80
21;ÌÒ Pai, ÌÒ - Look at This;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2007;89.0;82
22;Nymphomaniac: Volume 1;NR;This movie has not been rated.;2013;77.0;82
23;Hunter X Hunter (2011);NR;This movie has not been rated.;2013;57.0;80
24;Marvel's Luke Cage;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;95.0;80
25;Marvel's Iron Fist;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;98.0;80
26;Narcos;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;94.0;80
27;The Flash;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;98.0;80
28;The Seven Deadly Sins;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
29;Scream;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
30;The Do-Over;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;84.0;80
31;OperaÌ¤Ìµes Especiais;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;89.0;82
32;3%;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
33;Trollhunters;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;83.0;80
34;Fearless;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
35;Hyena Road;R;bloody war violence, language throughout and some sexual material;2015;79.0;82
36;Santa Clarita Diet;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;82.0;80
37;Sex, Love and Therapy;NR;This movie has not been rated.;2014;77.0;82
38;Girlboss;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;94.0;80
39;City of God: 10 Years Later;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2013;89.0;82
40;13 Reasons Why;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;99.0;80
41;Sand Castle;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;80
42;Salvador Martinha - Tip of the Tongue;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
43;Sandy Wexler;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2017;92.0;80
44;O Amor no DivÌ£;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
45;Stronger Than the World;NR;This movie has not been rated.;2016;77.0;82
46;Back and Forth;NR;This movie has not been rated.;2016;77.0;82
47;Happily Married;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;82
48;Pandora;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
49;The Office (U.S.);TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;97.0;80
50;90210;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;62.0;80
51;Gossip Girl;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;96.0;80
52;Parks and Recreation;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;94.0;80
53;Glee;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;92.0;80
54;Family Guy;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;98.0;80
55;Criminal Minds;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;98.0;80
56;Friends;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2003;98.0;80
57;The Secret Life of the American Teenager;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;81.0;80
58;One Tree Hill;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2011;90.0;80
59;Shameless (U.S.);TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;97.0;80
60;New Girl;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;91.0;80
61;American Horror Story;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;90.0;80
62;Orange Is the New Black;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;98.0;80
63;Inside Russia's Toughest Prison;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2011;86.0;82
64;Bates Motel;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;83.0;80
65;Grace and Frankie;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;90.0;80
66;How to Get Away with Murder;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;95.0;80
67;The Get Down;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;80.0;80
68;Love;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
69;The OA;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
70;Stranger Things;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;90.0;80
71;Ingobernable;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;96.0;80
72;Zootopia;PG;some thematic elements, rude humor and action;2016;97.0;80
73;Meet the Blacks;R;pervasive language, some sexual material, violence and drug use;2016;79.0;80
74;Finding Dory;PG;mild thematic elements;2016;98.0;80
75;Sausage Party;R;strong crude sexual content, pervasive language, and drug use;2016;91.0;80
76;Pete's Dragon;PG;for action, peril and brief language;2016;93.0;80
77;Kevin Hart: What Now?;R;some sexual material, and language throughout;2016;97.0;80
78;The Discovery;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
79;Chewing Gum;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;93.0;80
80;Cheer Squad;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;61.0;80
81;Only for One Night;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;78.0;80
82;The Life Aquatic with Steve Zissou;R;language, some drug use, violence and partial nudity;2004;79.0;82
83;The L Word;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2009;89.0;82
84;30 Rock;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;66.0;80
85;Mad Men;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;75.0;80
86;It's Always Sunny in Philadelphia;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;91.0;80
87;Californication;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2014;63.0;80
88;Portlandia;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;62.0;80
89;Don't Trust the B---- in Apartment 23;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;86.0;82
90;Friends with Benefits;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2011;86.0;82
91;The Client List;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;92.0;80
92;Halt and Catch Fire;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
93;5 to 7;R;some sexual material;2014;79.0;82
94;Chef's Table;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
